metric,value
case_id,PB-003-staged-target1020-supported
target_spacing_m,0.00102
bottom_plate_z_m,-0.001506
relax_steps,1000
compression_steps,24000
top_speed_m_s,1.0
expected_internal_bonds,80676
precompression_intact_bonds_after_relocation,80676.0
relocation_preload_broken_bonds,0.0
peak_top_force_N,26.150971
peak_top_force_displacement_mm,0.12000000000000001
peak_bottom_force_N,6.4181275
peak_bottom_force_displacement_mm,-0.0
final_intact_bonds,80464.0
total_broken_bonds_vs_expected_internal,212.0
first_break_displacement_mm,0.099995
source_csv,data/processed/PB-003-staged-target1020-supported_thermo.csv
