Step,Atoms,KinEng,erot
0,0,0,0
10000,200,7.1257293e-06,1.44885e-10
20000,400,1.7938546e-05,3.0576127e-09
30000,500,2.9374549e-05,1.1393324e-08
40000,500,3.8701004e-05,1.3033191e-08
50000,500,4.773821e-05,1.3284395e-08
60000,500,5.6219341e-05,1.3215603e-08
70000,500,6.4009381e-05,1.3195445e-08
80000,500,7.1059983e-05,1.3382819e-08
90000,500,7.7047402e-05,1.3437777e-08
100000,500,6.8790443e-05,4.5724184e-07
110000,500,3.816151e-05,1.4979935e-06
120000,500,1.23578e-05,8.19467e-07
130000,500,4.376398e-07,3.3107657e-07
140000,500,6.6557661e-08,7.1512284e-08
150000,500,3.2378389e-08,3.1421902e-08
150000,500,3.2378389e-08,3.1421902e-08
160000,500,1.2218881e-08,1.3383788e-08
170000,500,7.1545093e-09,5.1355104e-09
180000,500,4.309371e-09,3.6670663e-09
190000,500,2.6933808e-09,1.8715703e-09
200000,500,2.557312e-09,2.2536258e-09
