risk_id,risk_area,likely_reviewer_concern,current_evidence,prebuttal_position,wording_boundary,action_before_submission
R1,JNM scope,Study may be seen as DEM workflow rather than nuclear-materials degradation,"Introduction Discussion Fig. 1 connect Li4SiO4 damage to breeder-bed integrity purge pathways thermal contacts and service degradation",Frame method as a ceramic breeder-material damage diagnostic,Keep blanket/material degradation context central in Abstract Introduction Discussion,No extra computation required
R2,Single-pebble calibration,Weak-plane template is not a final Li4SiO4 material law,"Fig. 2 Fig. 3 Table 2 supplementary morphology resolution and rate summaries",Call it a load-scale and fragment-mode matched calibration candidate,Do not claim final material law calibrated Weibull distribution or predictive strength statistics,Author check of wording
R3,Ensemble size,Two corrected 100-pebble beds cannot support probability,"Fig. 5 Fig. 6 processed event tables native force-network series and strength-window audits",Present event-sequence and sensitivity evidence only,Do not report failure probability reliability index or design limit,Keep limitations explicit
R4,Contact modulus,Corrected bed contact modulus is a protocol value,"Fig. 4 and Methods show gate-passing restored-stiffness protocol and rejection of pre-damaging protocols",Treat 1.5e10 Pa as a gate-passing numerical protocol,Do not call it measured Li4SiO4 stiffness,Keep future calibration statement
R5,Superseded diagnostics,Earlier large-bed claims could confuse readers,"Force-transmission audit and active manuscript cleanup remove superseded PB diagnostic claims",Use withdrawal as evidence of conservative validation,Do not revive old large-bed force-chain or macro-response claims,Check cover letter highlights and response text
R6,Seed02 intact result,0.25x strength audit remaining intact may seem inconsistent,"Fig. 6 and seed02 processed data show spanning force graph with zero bond loss",Interpret as local force-path sensitivity not displacement-only threshold,Do not infer universal toughness or failure threshold,Keep sensitivity framing
R7,Topology relevance,Force-chain metrics may appear granular not material science,"Event tables couple force-network snapshots to localized internal bond loss",Frame topology as mesoscale mechanical environment for breeder-pebble microcrack activation,Tie topology to stiffness heat-transfer contact and purge-path implications,No extra computation required
R8,Dynamic artefacts,Compression rates and holds may affect brittle response,"Matched-rate single-pebble set and corrected step-relaxed gates bound current protocol",Acknowledge rate-bounded not fully quasi-static bed evidence,Do not call bed compression fully quasi-static,Keep limitations explicit
R9,Data availability,Repository identifier inserted: https://doi.org/10.5281/zenodo.20687351,"Reduced reproducibility package metadata checksum manifest flat source and deposit staging are prepared",Deposit package and insert DOI/stable URL before upload,Do not submit as complete while placeholder remains,Repository identifier inserted: https://doi.org/10.5281/zenodo.20687351
R10,AI declaration,AI-assisted manuscript/code support must be declared,"Elsevier declarations and manuscript AI statement prepared",Corresponding author verifies final declaration,Do not leave unconfirmed declaration wording,Author confirmation required
